Entry	Entry Name	Length	Cofactor	Catalytic activity	Binding site	Annotation	EC number	Protein existence	Gene Names (ordered locus)	Gene Names (primary)
P46962	CTK2_YEAST	323				5.0		Evidence at protein level	YJL006C	CTK2
P46963	CTK3_YEAST	296				5.0		Evidence at protein level	YML112W	CTK3
P46964	OST2_YEAST	130				5.0		Evidence at protein level	YOR103C	OST2
P46971	PMT4_YEAST	762		CATALYTIC ACTIVITY: Reaction=a dolichyl beta-D-mannosyl phosphate + L-seryl-[protein] = 3-O-(alpha-D-mannosyl)-L-seryl-[protein] + a dolichyl phosphate + H(+); Xref=Rhea:RHEA:17377, Rhea:RHEA-COMP:9517, Rhea:RHEA-COMP:9527, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:13546, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:57683, ChEBI:CHEBI:58211, ChEBI:CHEBI:137321; EC=2.4.1.109; Evidence={ECO:0000269|PubMed:17470820}; CATALYTIC ACTIVITY: Reaction=a dolichyl beta-D-mannosyl phosphate + L-threonyl-[protein] = 3-O-(alpha-D-mannosyl)-L-threonyl-[protein] + a dolichyl phosphate + H(+); Xref=Rhea:RHEA:53396, Rhea:RHEA-COMP:9517, Rhea:RHEA-COMP:9527, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:13547, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:57683, ChEBI:CHEBI:58211, ChEBI:CHEBI:137323; EC=2.4.1.109; Evidence={ECO:0000269|PubMed:17470820};		5.0	2.4.1.109	Evidence at protein level	YJR143C	PMT4
P46972	IMP2_YEAST	177				5.0	3.4.21.-	Evidence at protein level	YMR035W	IMP2
P46984	GON7_YEAST	123				5.0		Evidence at protein level	YJL184W	GON7
P46985	MNN11_YEAST	422				5.0	2.4.1.-	Evidence at protein level	YJL183W	MNN11
P46989	ATG27_YEAST	271				5.0		Evidence at protein level	YJL178C	ATG27
P46990	RL17B_YEAST	184				5.0		Evidence at protein level	YJL177W	RPL17B
P46995	SET2_YEAST	733		CATALYTIC ACTIVITY: Reaction=L-lysyl(36)-[histone H3] + 3 S-adenosyl-L-methionine = 3 H(+) + N(6),N(6),N(6)-trimethyl-L-lysyl(36)-[histone H3] + 3 S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:60324, Rhea:RHEA-COMP:9785, Rhea:RHEA-COMP:15536, ChEBI:CHEBI:15378, ChEBI:CHEBI:29969, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:61961; EC=2.1.1.359; Evidence={ECO:0000255|PROSITE-ProRule:PRU00901, ECO:0000269|PubMed:11839797, ECO:0000269|PubMed:12917322, ECO:0000269|PubMed:20048053};		5.0	2.1.1.359	Evidence at protein level	YJL168C	SET2
P47001	CIS3_YEAST	227				5.0		Evidence at protein level	YJL158C	CIS3
P47002	SSY5_YEAST	699				5.0		Evidence at protein level	YJL156C	SSY5
P47006	RPA34_YEAST	233				5.0		Evidence at protein level	YJL148W	RPA34
P47008	SFH5_YEAST	294	COFACTOR: Name=heme b; Xref=ChEBI:CHEBI:60344; Evidence={ECO:0000269|PubMed:32780017};	CATALYTIC ACTIVITY: Reaction=a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol)(in) = a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol)(out); Xref=Rhea:RHEA:38691, ChEBI:CHEBI:57880; Evidence={ECO:0000269|PubMed:10848624}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:38692; Evidence={ECO:0000269|PubMed:10848624};	BINDING 128; /ligand="heme"; /ligand_id="ChEBI:CHEBI:30413"; /evidence="ECO:0000250|UniProtKB:A6ZQI5"; BINDING 148; /ligand="heme"; /ligand_id="ChEBI:CHEBI:30413"; /evidence="ECO:0000250|UniProtKB:A6ZQI5"; BINDING 173; /ligand="heme"; /ligand_id="ChEBI:CHEBI:30413"; /evidence="ECO:0000250|UniProtKB:A6ZQI5"; BINDING 175; /ligand="heme"; /ligand_id="ChEBI:CHEBI:30413"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="proximal binding residue"; /evidence="ECO:0000250|UniProtKB:A6ZQI5"; BINDING 209; /ligand="heme"; /ligand_id="ChEBI:CHEBI:30413"; /evidence="ECO:0000250|UniProtKB:A6ZQI5"	5.0		Evidence at protein level	YJL145W	SFH5
P47011	GLG2_YEAST	380	COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250|UniProtKB:P46976};	CATALYTIC ACTIVITY: Reaction=L-tyrosyl-[glycogenin] + UDP-alpha-D-glucose = alpha-D-glucosyl-L-tyrosyl-[glycogenin] + H(+) + UDP; Xref=Rhea:RHEA:23360, Rhea:RHEA-COMP:14604, Rhea:RHEA-COMP:14605, ChEBI:CHEBI:15378, ChEBI:CHEBI:46858, ChEBI:CHEBI:58223, ChEBI:CHEBI:58885, ChEBI:CHEBI:140573; EC=2.4.1.186; Evidence={ECO:0000305|PubMed:8524228}; CATALYTIC ACTIVITY: Reaction=[1,4-alpha-D-glucosyl](n)-L-tyrosyl-[glycogenin] + UDP-alpha-D-glucose = [1,4-alpha-D-glucosyl](n+1)-L-tyrosyl-[glycogenin] + H(+) + UDP; Xref=Rhea:RHEA:56560, Rhea:RHEA-COMP:14606, Rhea:RHEA-COMP:14607, ChEBI:CHEBI:15378, ChEBI:CHEBI:58223, ChEBI:CHEBI:58885, ChEBI:CHEBI:140574; EC=2.4.1.186; Evidence={ECO:0000305|PubMed:8524228};	BINDING 10..16; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P46976"; BINDING 95; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P46976"; BINDING 120..122; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P46976"; BINDING 120; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /evidence="ECO:0000250|UniProtKB:P46976"; BINDING 122; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /evidence="ECO:0000250|UniProtKB:P46976"; BINDING 158..160; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P46976"; BINDING 185..189; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P46976"; BINDING 249..255; /ligand="substrate"; /evidence="ECO:0000250|UniProtKB:P46976"; BINDING 249; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /evidence="ECO:0000250|UniProtKB:P46976"	5.0	2.4.1.186	Evidence at protein level	YJL137C	GLG2
P47013	DS1P1_YEAST	409		CATALYTIC ACTIVITY: Reaction=(4R)-hydroxysphinganine 1-phosphate + H2O = (4R)-hydroxysphinganine + phosphate; Xref=Rhea:RHEA:33067, ChEBI:CHEBI:15377, ChEBI:CHEBI:43474, ChEBI:CHEBI:64124, ChEBI:CHEBI:64795; Evidence={ECO:0000269|PubMed:25345524}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:33068; Evidence={ECO:0000269|PubMed:25345524}; CATALYTIC ACTIVITY: Reaction=H2O + sphinganine 1-phosphate = phosphate + sphinganine; Xref=Rhea:RHEA:27514, ChEBI:CHEBI:15377, ChEBI:CHEBI:43474, ChEBI:CHEBI:57817, ChEBI:CHEBI:57939; Evidence={ECO:0000269|PubMed:25345524, ECO:0000269|PubMed:9353337}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:27515; Evidence={ECO:0000305|PubMed:25345524, ECO:0000305|PubMed:9353337};		5.0	3.1.3.-	Evidence at protein level	YJL134W	LCB3
P47016	NIT2_YEAST	307		CATALYTIC ACTIVITY: Reaction=H2O + N-(4-oxoglutaryl)-L-cysteinylglycine = 2-oxoglutarate + L-cysteinylglycine; Xref=Rhea:RHEA:54532, ChEBI:CHEBI:15377, ChEBI:CHEBI:16810, ChEBI:CHEBI:61694, ChEBI:CHEBI:138256; EC=3.5.1.128; Evidence={ECO:0000269|PubMed:28373563}; CATALYTIC ACTIVITY: Reaction=H2O + N-(4-carboxy-4-oxobutanoyl)-L-ethylglycylglycine = 2-oxoglutarate + N-(2-aminobutanoyl)glycine; Xref=Rhea:RHEA:17125, ChEBI:CHEBI:15377, ChEBI:CHEBI:16810, ChEBI:CHEBI:144697, ChEBI:CHEBI:144699; Evidence={ECO:0000269|PubMed:28373563}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:17126; Evidence={ECO:0000269|PubMed:28373563};	BINDING 173; /ligand="substrate"; /evidence="ECO:0000269|PubMed:23897470"; BINDING 199; /ligand="substrate"; /evidence="ECO:0000269|PubMed:23897470"	5.0	3.5.1.128	Evidence at protein level	YJL126W	NIT2
P47017	LSM1_YEAST	172				5.0		Evidence at protein level	YJL124C	LSM1
P47024	YJ41B_YEAST	1803		CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.49; CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.7; CATALYTIC ACTIVITY: Reaction=Endonucleolytic cleavage to 5'-phosphomonoester.; EC=3.1.26.4;	BINDING 631; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 696; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1384; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1463; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1464; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1645; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1687; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1721; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"	5.0	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-	Inferred from homology	YJL113W	TY4B-J
P47025	MDV1_YEAST	714				5.0		Evidence at protein level	YJL112W	MDV1
P47026	GWT1_YEAST	490				5.0	2.3.-.-	Evidence at protein level	YJL091C	GWT1
P47027	DPB11_YEAST	764				5.0		Evidence at protein level	YJL090C	DPB11
P47029	ALY2_YEAST	1046				5.0		Evidence at protein level	YJL084C	ALY2
P47032	PRY1_YEAST	299				5.0		Evidence at protein level	YJL079C	PRY1
P47033	PRY3_YEAST	881				5.0		Evidence at protein level	YJL078C	PRY3
P47035	NET1_YEAST	1189				5.0		Evidence at protein level	YJL076W	NET1
P47037	SMC3_YEAST	1230			BINDING 32..39; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255"	5.0		Evidence at protein level	YJL074C	SMC3
P47039	BNA3_YEAST	444	COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000305};	CATALYTIC ACTIVITY: Reaction=2-oxoglutarate + L-kynurenine = H2O + kynurenate + L-glutamate; Xref=Rhea:RHEA:65560, ChEBI:CHEBI:15377, ChEBI:CHEBI:16810, ChEBI:CHEBI:29985, ChEBI:CHEBI:57959, ChEBI:CHEBI:58454; EC=2.6.1.7;		5.0	2.6.1.7	Evidence at protein level	YJL060W	BNA3
P47041	BIT61_YEAST	543				5.0		Evidence at protein level	YJL058C	BIT61
P47043	ZAP1_YEAST	880			BINDING 581; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="regulatory"; /evidence="ECO:0000269|PubMed:16483601, ECO:0007744|PDB:1ZW8"; BINDING 586; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="regulatory"; /evidence="ECO:0000269|PubMed:16483601, ECO:0007744|PDB:1ZW8"; BINDING 599; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="regulatory"; /evidence="ECO:0000269|PubMed:16483601, ECO:0007744|PDB:1ZW8"; BINDING 604; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="regulatory"; /evidence="ECO:0000269|PubMed:16483601, ECO:0007744|PDB:1ZW8"; BINDING 618; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="regulatory"; /evidence="ECO:0000269|PubMed:16483601, ECO:0007744|PDB:1ZW8"; BINDING 623; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="regulatory"; /evidence="ECO:0000269|PubMed:16483601, ECO:0007744|PDB:1ZW8"; BINDING 636; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="regulatory"; /evidence="ECO:0000269|PubMed:16483601, ECO:0007744|PDB:1ZW8"; BINDING 641; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="regulatory"; /evidence="ECO:0000269|PubMed:16483601, ECO:0007744|PDB:1ZW8"	5.0		Evidence at protein level	YJL056C	ZAP1
P47047	MTR4_YEAST	1073		CATALYTIC ACTIVITY: Reaction=ATP + H2O = ADP + H(+) + phosphate; Xref=Rhea:RHEA:13065, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; EC=3.6.4.13;	BINDING 171..178; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"	5.0	3.6.4.13	Evidence at protein level	YJL050W	MTR4
P47050	CUL8_YEAST	842				5.0		Evidence at protein level	YJL047C	RTT101
P47054	NU192_YEAST	1683				5.0		Evidence at protein level	YJL039C	NUP192
P47057	SNX4_YEAST	423			BINDING 78; /ligand="a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3-phosphate)"; /ligand_id="ChEBI:CHEBI:58088"; /evidence="ECO:0000250|UniProtKB:Q3UR97"; BINDING 80; /ligand="a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3-phosphate)"; /ligand_id="ChEBI:CHEBI:58088"; /evidence="ECO:0000250|UniProtKB:Q96L94"; BINDING 104; /ligand="a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3-phosphate)"; /ligand_id="ChEBI:CHEBI:58088"; /evidence="ECO:0000250|UniProtKB:Q96L94"; BINDING 123; /ligand="a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3-phosphate)"; /ligand_id="ChEBI:CHEBI:58088"; /evidence="ECO:0000250|UniProtKB:Q6P4T1"	5.0		Evidence at protein level	YJL036W	SNX4
P47058	TAD2_YEAST	250	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250};	CATALYTIC ACTIVITY: Reaction=adenosine(34) in tRNA + H(+) + H2O = inosine(34) in tRNA + NH4(+); Xref=Rhea:RHEA:43168, Rhea:RHEA-COMP:10373, Rhea:RHEA-COMP:10374, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:28938, ChEBI:CHEBI:74411, ChEBI:CHEBI:82852; EC=3.5.4.33;	BINDING 54; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="catalytic"; /evidence="ECO:0000250"; BINDING 88; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="catalytic"; /evidence="ECO:0000250"; BINDING 91; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="catalytic"; /evidence="ECO:0000250"	5.0	3.5.4.33	Evidence at protein level	YJL035C	TAD2
P47061	VPS53_YEAST	822				5.0		Evidence at protein level	YJL029C	VPS53
P47068	BBC1_YEAST	1157				5.0		Evidence at protein level	YJL020C	BBC1
P47069	MPS3_YEAST	682			BINDING 187..194; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255"	5.0		Evidence at protein level	YJL019W	MPS3
P47074	MAD3_YEAST	515				5.0		Evidence at protein level	YJL013C	MAD3
P47075	VTC4_YEAST	721	COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:19390046};	CATALYTIC ACTIVITY: Reaction=[phosphate](n) + ATP = [phosphate](n+1) + ADP; Xref=Rhea:RHEA:19573, Rhea:RHEA-COMP:9859, Rhea:RHEA-COMP:14280, ChEBI:CHEBI:16838, ChEBI:CHEBI:30616, ChEBI:CHEBI:456216; EC=2.7.4.1; Evidence={ECO:0000269|PubMed:19390046, ECO:0000269|PubMed:24114837}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:19574; Evidence={ECO:0000269|PubMed:19390046, ECO:0000269|PubMed:24114837};	BINDING 200; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000269|PubMed:19390046"; BINDING 264; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000269|PubMed:19390046"; BINDING 266; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000269|PubMed:19390046"; BINDING 281; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000269|PubMed:19390046"; BINDING 294; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000269|PubMed:19390046"; BINDING 359; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000269|PubMed:19390046"; BINDING 361; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000269|PubMed:19390046"; BINDING 426; /ligand="Mn(2+)"; /ligand_id="ChEBI:CHEBI:29035"; /evidence="ECO:0000269|PubMed:19390046"	5.0	2.7.4.1	Evidence at protein level	YJL012C	VTC4
P47076	RPC9_YEAST	161				5.0		Evidence at protein level	YJL011C	RPC17
P47077	NOP9_YEAST	666				5.0		Evidence at protein level	YJL010C	NOP9
P47082	AVT1_YEAST	602				5.0		Evidence at protein level	YJR001W	AVT1
P47083	MPP10_YEAST	593				5.0		Evidence at protein level	YJR002W	MPP10
P47093	LSM8_YEAST	109				5.0		Evidence at protein level	YJR022W	LSM8
P47096	3HAO_YEAST	177	COFACTOR: Name=Fe(2+); Xref=ChEBI:CHEBI:29033;	CATALYTIC ACTIVITY: Reaction=3-hydroxyanthranilate + O2 = (2Z,4Z)-2-amino-3-carboxymuconate 6-semialdehyde; Xref=Rhea:RHEA:17953, ChEBI:CHEBI:15379, ChEBI:CHEBI:36559, ChEBI:CHEBI:77612; EC=1.13.11.6; Evidence={ECO:0000255|HAMAP-Rule:MF_03019, ECO:0000269|PubMed:9539135};	BINDING 45; /ligand="O2"; /ligand_id="ChEBI:CHEBI:15379"; /evidence="ECO:0000255|HAMAP-Rule:MF_03019"; BINDING 49; /ligand="Fe cation"; /ligand_id="ChEBI:CHEBI:24875"; /ligand_note="catalytic"; BINDING 55; /ligand="Fe cation"; /ligand_id="ChEBI:CHEBI:24875"; /ligand_note="catalytic"; BINDING 55; /ligand="substrate"; /evidence="ECO:0000255|HAMAP-Rule:MF_03019"; BINDING 97; /ligand="Fe cation"; /ligand_id="ChEBI:CHEBI:24875"; /ligand_note="catalytic"; BINDING 101; /ligand="substrate"; /evidence="ECO:0000255|HAMAP-Rule:MF_03019"; BINDING 111; /ligand="substrate"; /evidence="ECO:0000255|HAMAP-Rule:MF_03019"; BINDING 126; /ligand="a divalent metal cation"; /ligand_id="ChEBI:CHEBI:60240"; BINDING 129; /ligand="a divalent metal cation"; /ligand_id="ChEBI:CHEBI:60240"; BINDING 163; /ligand="a divalent metal cation"; /ligand_id="ChEBI:CHEBI:60240"; BINDING 166; /ligand="a divalent metal cation"; /ligand_id="ChEBI:CHEBI:60240"	5.0	1.13.11.6	Evidence at protein level	YJR025C	BNA1
P47098	YJ11B_YEAST	1755		CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.49; CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.7; CATALYTIC ACTIVITY: Reaction=Endonucleolytic cleavage to 5'-phosphomonoester.; EC=3.1.26.4;	BINDING 671; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 736; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1346; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1427; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1428; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1610; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1652; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1685; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"	5.0	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-	Inferred from homology	YJR027W	TY1B-JR1
P47100	YJ12B_YEAST	1755		CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.49; CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1); Xref=Rhea:RHEA:22508, Rhea:RHEA-COMP:17339, Rhea:RHEA-COMP:17340, ChEBI:CHEBI:33019, ChEBI:CHEBI:61560, ChEBI:CHEBI:173112; EC=2.7.7.7; CATALYTIC ACTIVITY: Reaction=Endonucleolytic cleavage to 5'-phosphomonoester.; EC=3.1.26.4;	BINDING 671; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 736; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="1"; /ligand_note="catalytic; for integrase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1346; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1427; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1428; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="2"; /ligand_note="catalytic; for reverse transcriptase activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1610; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1652; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; BINDING 1685; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /ligand_label="3"; /ligand_note="catalytic; for RNase H activity"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"	5.0	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-	Inferred from homology	YJR029W	TY1B-JR2
P47102	GEA1_YEAST	1408				5.0		Evidence at protein level	YJR031C	GEA1
P47103	CYP7_YEAST	393		CATALYTIC ACTIVITY: Reaction=[protein]-peptidylproline (omega=180) = [protein]-peptidylproline (omega=0); Xref=Rhea:RHEA:16237, Rhea:RHEA-COMP:10747, Rhea:RHEA-COMP:10748, ChEBI:CHEBI:83833, ChEBI:CHEBI:83834; EC=5.2.1.8;		5.0	5.2.1.8	Evidence at protein level	YJR032W	CPR7
P47104	RAV1_YEAST	1357				5.0		Evidence at protein level	YJR033C	RAV1
P47110	DPOD3_YEAST	350				5.0		Evidence at protein level	YJR043C	POL32
P47112	CDT1_YEAST	604				5.0		Evidence at protein level	YJR046W	TAH11
P47113	BFA1_YEAST	574				5.0		Evidence at protein level	YJR053W	BFA1
